state,forecast_date,target_end_date,trained_q50,actual,normalized_interval_width,normalized_disagreement,num_modes,branch_1_center,branch_1_weight,branch_2_center,branch_2_weight,branch_3_center,branch_3_weight,forecast_error,closest_actual_branch
Pennsylvania,2022-10-31,2022-11-05,13442.0,13038.0,0.9530575807171552,0.11945472341783711,1,12648.871769399091,1.0,,,,,0.030055051331647077,
Pennsylvania,2022-11-07,2022-11-12,13327.0,12208.0,1.151346889772642,0.1000013971136269,1,13050.234122538443,1.0,,,,,0.0839648833195768,
Pennsylvania,2022-11-14,2022-11-19,11966.0,9953.0,0.8550894200233996,0.06809993103949666,1,11869.71684132015,1.0,,,,,0.16822664215276617,
Pennsylvania,2022-11-21,2022-11-26,9755.0,10052.0,0.906099436186571,0.10442398648895491,1,9673.489810115754,1.0,,,,,0.029546358933545562,
Pennsylvania,2022-11-28,2022-12-03,9140.0,10730.0,0.8987964989059081,0.14037414648651333,1,9541.14605580935,1.0,,,,,0.14818266542404473,
Pennsylvania,2022-12-05,2022-12-10,10811.0,13936.0,0.8642123762834151,0.2678431607031842,1,11552.24010737967,1.0,,,,,0.22423938002296212,
Pennsylvania,2022-12-12,2022-12-17,12797.0,13838.0,0.703602406814097,0.1325478215268982,1,13613.818326346856,1.0,,,,,0.07522763405116346,
Pennsylvania,2022-12-19,2022-12-24,14488.0,14606.0,0.7087244616234125,0.05689177134814082,1,13934.146376033368,1.0,,,,,0.008078871696563057,
Pennsylvania,2022-12-26,2022-12-31,14640.0,12965.0,0.7526639344262295,0.04257076176362617,1,14349.514246084349,1.0,,,,,0.11441256830601093,
Pennsylvania,2023-01-02,2023-01-07,14119.0,15719.0,0.7691762872724697,0.10309568508383218,1,13562.99404089427,1.0,,,,,0.10178764552452446,
Pennsylvania,2023-01-09,2023-01-14,14853.0,15230.0,0.7716286272133576,0.22765844765638205,1,13822.710542418772,1.0,,,,,0.0247537754432042,
Pennsylvania,2023-01-16,2023-01-21,14252.0,11045.0,0.9409205725512209,0.2405648932503799,1,13002.237717191581,1.0,,,,,0.2250210496772383,
Pennsylvania,2023-01-23,2023-01-28,11052.0,10940.0,0.9700506695620702,0.14744544398817594,1,11110.460324535949,1.0,,,,,0.010133912414042706,
Rhode Island,2021-07-26,2021-07-31,764.0,892.0,1.3350785340314135,0.19367262398570062,1,766.0640999675621,1.0,,,,,0.14349775784753363,
Rhode Island,2021-08-02,2021-08-07,1833.0,1486.0,1.4909983633387889,0.168238911047924,2,1146.754099448819,0.14632169647262705,1932.7433403937007,0.853678303527373,,,0.18930714675395527,1.0
Rhode Island,2021-08-09,2021-08-14,3331.0,1764.0,1.365055538877214,0.2019165825864054,2,2138.517515984252,0.34364869315819385,3408.2217407086614,0.6563513068418062,,,0.47042930051035725,1.0
Rhode Island,2021-08-16,2021-08-21,2558.0,2121.0,0.6958561376075059,0.20742530712733184,2,2550.202594015748,0.6330151164262056,3397.592903464567,0.36698488357379444,,,0.17083659108678656,1.0
Rhode Island,2021-08-23,2021-08-28,2597.0,1991.0,0.47747400847131305,0.23096298724255954,1,2761.259556346225,1.0,,,,,0.2333461686561417,
Rhode Island,2021-08-30,2021-09-04,2146.0,2041.0,0.41425908667287975,0.08247385558608011,1,2233.898131630477,1.0,,,,,0.048928238583411,
Rhode Island,2021-09-06,2021-09-11,2062.0,2107.0,0.6241513094083414,0.14210542707969412,1,2194.2442356644615,1.0,,,,,0.021357380161366873,
